signature (qtm),vertices,edges (qtm),diameter (qtm),example antipodes (qtm),radius (qtm),example center (qtm),diameter (htm),example antipodes (htm),radius (htm),example center (htm)
0x1085C684220C21,326,532,36,0x2020c1043e3821 => 0x1089ce84421102,18,0x18c180c6203221,23,0x40c40843e3421 => 0x2020c1043e3821,12,0x18c180c6203221
0x2200B7B00008,324,616,24,0x40040b5a000c4 => 0x2040b5a000c4,15,0x8000b7a00310,13,0x40040b5a00c08 => 0x40c00b5a20100,8,0x8000f5a00310
0x30000010120083,324,608,34,0x300c5000100010 => 0x300c5000001080,17,0x80c9040000c00,20,0x30005200001082 => 0x2180002900003,10,0x80c9040000c00
0x18401FC2005A1,324,596,18,0x18801fc20045a => 0x1800dfc00082d,11,0x218005fc000bc0,11,0x218005fc0005b0 => 0xc2001fc20022d,8,0x218001fc40003d
0x104400B5A0042D,324,548,21,0x104200b5a00b44 => 0x24200b5a000da,11,0x20600b5a005a1,15,0x104200b5a005a2 => 0x24200b5a00b41,8,0x20400b5a007a1
0x107001838000DE,324,520,35,0x2214a0118905a => 0x4500181824c2d,18,0x11980039c002d,25,0x30205981000b46 => 0xa200181824c2d,13,0x31180183800b42
0x108400803C7461,324,520,26,0x6080e805c0461 => 0x20338100207461,13,0x210801005c7862,21,0x44401003c7861 => 0x41800805c7462,11,0xe0001005c7862
0x104400B5A00411,324,512,19,0x101008b5a00206 => 0x224000b5a00890,12,0x100608b5a00401,14,0x101800b5a00406 => 0x204400b5b00081,9,0x100608b5a00401
0x50138180003D,324,462,25,0x201981108105a => 0x10101381800b41,15,0x1112019c002d,21,0x111a018800da => 0x1100111c80da,12,0x3800188905e
0x200892000008C6,324,448,27,0x18500000940106 => 0xa040800840231,14,0x200892000008c6,23,0x30440000148111 => 0x468000904181,13,0x29a000008c6
0x108580842DB421,323,591,23,0x31078784218820 => 0x31078784218022,12,0x40001845dfc22,16,0x11098c844d9420 => 0x210707043d8820,9,0x40001845dfc22
0x10000085AC0461,321,498,28,0x10018885b00108 => 0x2400085ac0460,14,0x40085ac0461,22,0x2400085ac0460 => 0x10018885b00108,12,0x20100105b80860
0x1003FE8000043D,321,448,19,0x201be100c00bc1 => 0x2040b7021808da,10,0x2013ed0080085e,16,0x22036f00048b41 => 0x105024821c945a,9,0x20007f001c083d
0x80200400,320,1136,9,0x400080080 => 0x110000200000,7,0x80006000,7,0x80002080 => 0x400080400000,5,0x8100002000
0x10878680200C61,320,632,19,0x20880c805c0463 => 0x8487003c4861,13,0x10858e8020038c,14,0x10858e80304460 => 0x110208802c7461,9,0x230b0d00401318
0x108400B42007BD,320,604,26,0x8c006b41005ad => 0x40e00b4401fe0,14,0x210800b4200fe3,16,0x1000eb40007bd => 0x8206b41005bd,8,0x108400b42007bd
0x83FE04120420,320,564,29,0x2084f0045e0021 => 0x81fc04061822,15,0x8c5b046200421,17,0x30847104461022 => 0x2088f104220c22,9,0x85b046200631
0x10840184618C21,320,536,28,0x88d00046d8021 => 0xc300047d8021,16,0x8780046d8021,20,0x3000f8401e820 => 0x88980046d8021,11,0x10800f8401ac20
0x108000F7A00021,319,638,20,0x11800f7a00100 => 0x41800f7a00040,16,0x102040b5b20020,13,0x88800f7a00100 => 0x103040b5a20008,10,0x41000f7a00018
0x108430840D8421,319,594,16,0xc0b304198820 => 0x208b3104059020,10,0x1083b084018421,11,0x20833304058022 => 0xc0b304198820,7,0x1083b08401c420
0x184018C200461,318,684,18,0x180098c200862 => 0x181820c182060,12,0x185800c280061,13,0x187080c082060 => 0x181820c182060,8,0x185800c280061
0x800184218021,318,658,20,0x210004498021 => 0x1050004498020,10,0xc0018401a020,14,0x1110004298020 => 0x101000409a030,8,0xc00184218020
0x1080008C0F8463,318,584,24,0x2103030c038063 => 0x1111808c038c60,13,0x20010c1f8863,15,0x22008c1f8461 => 0x208b810c078060,8,0x80010c1f8863
0x10818080800C23,318,440,51,0x10208809c4440 => 0x11038880904040,26,0x108d8080800023,29,0x21030900804c40 => 0x11018880804c40,15,0x8c0100980823
0x108001FC6005A3,316,632,35,0x302001fc60082d => 0x8801fc600c2d,18,0x40007fc003bc0,21,0x8801fc6000de => 0x31001fc6000da,11,0x40001fc600bc3
0x1184008C238C63,316,632,24,0x31800f0c038063 => 0x18f800c238c60,14,0x470008c438c63,13,0x218c810c478860 => 0x188820c4f9062,8,0xe20008c238c63
0x18401FC200420,316,590,19,0x42001fc20040c => 0x18005fc000444,11,0x218001fc400102,14,0x18005fc000444 => 0x42001fc002620,8,0x218401fc400020
0x100000846D8423,316,590,21,0x4085041da820 => 0x10418084618c20,11,0x80006840db420,15,0x4085041da820 => 0x10418084618c20,8,0x80c00846d8420
0x800184638421,316,584,16,0x8800d8403a020 => 0x81c004698220,11,0x8104040fb020,12,0xc0058403a420 => 0x880058403b020,7,0x80078403a420
0x1084018C600C61,314,676,23,0x107000c6c0063 => 0xc44018c600198,12,0xe08018c600c60,15,0x81860c1c6060 => 0xc44018c600198,8,0x1884018c600063
0x2050000284087F,314,420,36,0x18100850000b5e => 0x81880028007ad,18,0x2da00000fe1,29,0x201088408007ad => 0x8048840800fe2,15,0x2da0000087f
0x1085B08460042D,313,446,28,0x208030846c045e => 0x108031047c082d,15,0x1081be840025a0,22,0x8230846c043d => 0x1881b4840025b0,11,0x1083b08460045a
0x10018085AE0421,313,444,34,0x20030905ba0820 => 0x20034105b84808,17,0x40185be0c20,27,0x4185bc4c08 => 0x985be0c20,14,0x400185be0c20
0x10818087A00C2D,313,428,27,0x11018087a005a3 => 0x20830107a005a3,15,0x200885ae442d,17,0x40c0107b8085a => 0x224085bc045a,10,0x2000c5ac063d
0x8000B4600420,312,640,19,0x110004b4002040 => 0x10004b4002440,10,0x40004b4006020,13,0x8204b4002040 => 0x10004b4102020,8,0x88000b4600020
0x10840187A00C11,311,552,29,0x18880187a00203 => 0xa200187a00883,15,0x718007ac0011,17,0xc180187a00203 => 0xa200187a00291,9,0x700187a00c11
0x108430843DC421,311,466,27,0x20c035041dd820 => 0x1889b28401a620,14,0x108630842d8431,19,0x20c035041dd820 => 0x20c3b50401c421,10,0x188430842dc421
0x111200800C08,310,590,14,0x84100100480c0 => 0x30000100809104,9,0x2100100809044,11,0x8501200880020 => 0x30000100809104,7,0x30101280800020
0x108000B40D85A3,310,480,15,0x102008b40dc5a0 => 0x10400b40d85a3,12,0xc4000b40d95a0,11,0xc4000b40d85a2 => 0x310000b40d85b0,8,0x27000b40d85a0
0x110000860,308,712,15,0x20001080000108 => 0x110010000060,9,0x11000000118,12,0x10001100000108 => 0x2010000800060,7,0x11000000118
0x1084018C200C7F,308,600,17,0x3070018c400fe0 => 0x450018c200bde,12,0x10b800c58007f,11,0x18c4018c400b5a => 0xa20018c200bde,7,0x2100038c007fe0
0x108400862007BD,308,588,26,0x8c180442045ad => 0x3020490424007f,14,0x21080086200c7f,16,0xc380043205ad => 0x21c80424087f,8,0x108400862007bd
0x100190802C0423,308,572,30,0x20031900384808 => 0x300f8180802040,15,0x200381003c8840,18,0x100184808c0423 => 0x3805c9c08,10,0x30039180200c20
0x8000C7AC0421,308,456,27,0x1021c085a20088 => 0x2204085ae0408,15,0x804885ae0408,21,0x1085c085a20100 => 0x4004085ae0421,11,0x102000c7ac0408
0x40C1C2060,306,671,12,0x208008c600108 => 0x2048c002460,8,0x40010c600188,9,0x2000050c042060 => 0x2840c082060,6,0x5000c600860
0x108400F7A00631,306,612,30,0x231800f7a00822 => 0x208800f7a008c6,15,0x108640b5b20421,17,0xe0c00f7a00441 => 0x208800f7a00c1c,9,0x18c400f7a00421
0x182800FFC001C,306,596,23,0x18c010fe00383 => 0xe70008fe00288,15,0xe30008fe00423,13,0xc60010fe00383 => 0xe70008fe00288,8,0x3188008fe00423
0x10840184620C23,306,588,20,0x804f84007380 => 0x88d0044680223,12,0x30884184600c22,13,0x30c00586002c30 => 0x83c0047c001c,8,0x8740047c0023
0x10840185A00C3D,306,580,26,0x60c0185a007a2 => 0x188c0185a005a2,14,0x10840185a00c3d,17,0x8c40185a00b46 => 0xe180185a0022d,9,0x870005bc003d
0x10040080800C7F,306,568,26,0x84180008045ad => 0x3000128010007f,13,0x20080100800bde,18,0x1880084087f => 0x2000b00009b5a,9,0xa000100800c7f
0x1003BE80100062,306,496,35,0x22032b10002c60 => 0x1851a480804188,18,0x20073900200863,25,0x301025009c0861 => 0x22032b10002c60,13,0x100438802c0463
0x83FE04098021,306,488,31,0x8374040d9222 => 0x889b24409a220,16,0xc5304409f220,21,0x20c4318403e820 => 0x889b04429c220,11,0x837e04098222
0x100580802005AD,306,452,19,0x200004800c047f => 0x20030900002fe0,13,0x1001848000047f,15,0x100182804005ad => 0x100180804005bd,10,0x1001848000047f
0x108E4080000C00,305,516,45,0x10802c0000294 => 0x10800302000294,23,0x108002c0000c03,25,0x10800302000294 => 0x10802c0000294,13,0x108002c0000294
0x108638842005AD,305,408,47,0x20883084204fe1 => 0x2088308430047f,24,0x81be040007ad,30,0x10c431042005bd => 0x2088308430047f,16,0x83b60400087f
0x2108018C60085E,304,608,29,0x2220018c6008da => 0x1110018c6007a2,15,0x70018c60085e,21,0x1820018c60062d => 0x2220018c6005b1,11,0xe00018c600bc2
0xF4000000063D,304,544,15,0x2d0408000045a1 => 0x16a80000007b0,11,0x2f0002000017a0,12,0x8f4000004105a => 0x37800000055a0,8,0x2f000000000c5e
0x100780803C0401,304,528,20,0x101188802c4600 => 0x22030300581810,12,0x100f80804c0402,12,0x21801801c2c04 => 0x20438100580884,7,0x300b8180200403
0x101000B5A00031,304,526,29,0x100800b5b00030 => 0x100800b5b00110,15,0x181008b5a00100,21,0x1008b5b00021 => 0x100800b5b00030,11,0x181008b5a00020
0x1000118C00C5A,304,484,23,0x210018c0023d => 0x103041890005a,12,0x3100118c0005a,18,0x1010c18804b40 => 0x4000518800b43,10,0x3100118c0005a
0x1084008FEC0461,304,438,30,0x1107808fe00860 => 0x888010ff80862,17,0x2063010fe00861,19,0x2107010fe00198 => 0x1820010ff80862,12,0x30010ffc0862
0x10818086200C23,304,416,55,0x108180c440029c => 0xa7000c44c0420,28,0x210f0106200043,31,0xe5000c44c0420 => 0x108180c440029c,16,0x10c00862c0443
0x100401FC203C01,304,416,32,0x10080dfc400c04 => 0x304001fc203801,18,0x20080ffc400210,19,0x301001fc406402 => 0x200407fc200c10,11,0x20080ffc400084
0x806C0421,302,644,16,0x22030500002020 => 0x18018480002040,10,0x200305000020c0,15,0x18018480002040 => 0x22030500002020,9,0x10018080600440
0x2008018C401862,301,532,21,0x244018c400198 => 0x1800098c20030c,12,0x1040018c007460,16,0x2208038c002460 => 0x1800098c20030c,8,0x2208018c007060
0x108030840FC421,301,529,23,0x20c33104078021 => 0x20c3310407c020,12,0x1083f284018021,17,0x10c1b084038821 => 0x10c1b286018820,9,0x108832840f8420
0x80000420,300,1044,8,0x80001100 => 0x100004100,6,0x100000080008,7,0x84040 => 0x81020,5,0x100000018
0x10040000000C63,300,656,26,0x300c0000140108 => 0x300c0000005108,13,0x30040000000863,16,0x300c0000140108 => 0xa500000041060,9,0x30040000000c61
0x1004008C6C0463,300,540,17,0x3000050c187860 => 0x1013808c700062,9,0x1000008c7c0463,13,0x1013808c700062 => 0x42008c7c0461,7,0x2000010c7c0863
0x80400C0200C03,300,536,53,0x2090040200294 => 0x20100482000294,27,0x80400c0200c03,32,0x20100482000294 => 0x2090040200294,16,0x10400082200294
0x108436842F8421,300,532,22,0x20c73706258020 => 0x1081f28441e222,11,0x108436842f8421,17,0x10c43706398820 => 0x10c031043bb821,9,0x20877704218821
0x108030842DC421,300,517,31,0x20c3310425c020 => 0x20c3350405c020,16,0x108234840d8620,21,0x10883304598820 => 0x10c0310439c820,11,0x108230840da620
0x200B8300000863,300,508,37,0x220f0100004461 => 0x180d8080001862,19,0x105000801c0463,29,0x221b010004030c => 0x18018a80001862,15,0x10538080000463
0x2CA00000611,300,420,26,0x428200021882 => 0x22084200141010,14,0x18440000124401,22,0xa080202141002 => 0x22184000140014,12,0x18040840004601
0x53FE0280041C,300,420,22,0x181264408cd20c => 0x8193240966304,11,0x243fe1200081c,15,0x22406c121c90c2 => 0xa09204096f304,8,0x243fe1200081c
0x100000F4200C63,299,570,33,0x6b6000c63 => 0xc40b4401c60,17,0x300800f4400c60,20,0x46b4001c62 => 0x6b6000c63,10,0x300800f4400c60
0x230001FC600C42,298,596,36,0x30c401fc600208 => 0x44001fc600c46,18,0x6000ffc003300,21,0x30c401fc600208 => 0x22001fc600c46,11,0x60401fc600303
0x100400B40005AD,298,564,17,0x200008b400007f => 0x100800b400007f,10,0xab4000fe0,14,0x200400b40005ad => 0x2b4004fe0,8,0x80000b40007ad
0x101000B7A00011,298,522,21,0x100800b7b00010 => 0x100800b7b00001,11,0x180000f5a00081,17,0x80008f5a00801 => 0x100800b7b00001,9,0x80800f5a00081
0x1087B08460042D,297,414,34,0x108431047c082d => 0x208030847c045e,17,0x1881b084600bc2,23,0x1081b08470045e => 0x108431047c082d,12,0x1881b084600bc2
0x180600C21,296,636,14,0x21104000c2040 => 0x8410400086020,8,0x30080180600008,11,0x8410400086020 => 0x21104000c2040,6,0x30000180600021
0x2180830C000863,296,592,45,0x189020c100463 => 0x1184090c045060,24,0x3188000c1c1060,31,0x189020c105460 => 0x1810a0c041862,16,0x183820c000c62
0x1184008C0F8463,296,592,31,0x1181888c038863 => 0x2183030c038463,16,0x218c010c1f8860,19,0x2187090c07c060 => 0x1189828c139060,10,0x218f810c038860
0x800180200C2D,296,562,17,0x800d8000402d => 0x100078000105a,11,0x10001804005a3,11,0x100038040105a => 0x800d8000402d,7,0x31000180200b40
0x8000806C0423,296,544,17,0x21038100640100 => 0x10838080700100,11,0x10818080600c20,11,0x21038100640100 => 0x10838080700100,7,0x20838100640040
0x8000846E0423,296,516,21,0x1083c084700100 => 0x40200847e0420,11,0x8046840c3420,16,0x40200847e0420 => 0x1083c084700100,8,0x8046840c3420
0x108580843FC421,296,472,26,0x20c387041b8821 => 0x30c38184439822,13,0x26001843fcc21,19,0x108007861d8c31 => 0x30338184439422,10,0x10c580c40db620
0x100580802C042D,296,438,28,0x1005801c0c2d => 0x4005801c0c5a,14,0x3003818040042d,23,0x2043050018085a => 0x101184800c042d,12,0x3003818020003d
0x300400B4200C01,295,540,22,0x305000b4400003 => 0xc00b4400c14,12,0x25000b4200094,14,0xa4002b4103000 => 0x202b4003290,8,0x300800b4400c02
0x100000B46005A3,294,561,20,0x304000b460005a => 0x300000b460082d,11,0x80000b46005a3,14,0x200b46007b0 => 0x20200b47005a0,8,0x100000b46005a3
0x108000B46D85A1,293,442,31,0x110004b40da7a0 => 0x1000cb40db5a0,16,0x40004b40df5a0,22,0x1000cb40db5a0 => 0xc004b40da7a0,11,0x4000eb40da5a0
0x100400F7A00431,292,584,33,0x220800f7a00888 => 0x81800f7a00106,17,0x105000f7a00421,21,0x81800f7a00106 => 0xa0400f7a000c1,11,0x201800f7a00421
0x8000F4200C60,292,520,20,0x8c40b4200108 => 0xc4004f4000060,11,0x40000b620018c,14,0x8c004f4000060 => 0x40c40b4200108,8,0x40000f4200318
0x108430843DB421,292,500,18,0x20883d045d9820 => 0x88bf04598822,10,0x1085be84218421,14,0x88830843db421 => 0xc0b10439b831,8,0x108430843db421
0x10B400800C0463,292,416,29,0x30b408800c0460 => 0x31680300180860,15,0x10b7808000018c,23,0x10b78880100060 => 0x31680300180860,12,0x216b8100000063
0x2070010FF80814,292,406,36,0x304008ffc0411 => 0x888008ffc0406,18,0x2073810fe00014,27,0x2220008ffc0411 => 0x1113808fe00206,14,0x2070010ff80814
0xC0008C4200C23,292,400,44,0x8c4084500183 => 0x30300884220c20,23,0x610008630009c,25,0x30300904220c20 => 0x8c4084300183,13,0xe1008c420008c
0x31840085BC0421,292,396,32,0x11858085a04c0c => 0x21880085bc0443,16,0x6300085bc041c,23,0x1860085bc440c => 0x11898085b00443,12,0x31880085bc040c
0x168400841F8423,292,392,48,0x2f0003041b8823 => 0x10f58084038c22,24,0x168008c40dd620,37,0x2f0003041b8823 => 0x20f78104078022,19,0x216800c40d8623
0x108C00B42FB5A1,292,392,35,0x303000f44de5a2 => 0x311000f44de5a2,18,0x86000b42ff5a1,26,0x303000f44de5a2 => 0x311000f44de5a2,13,0x8c00b42ff5a1
0x1007FE80204421,290,484,36,0x2044b1023c3821 => 0x22046910387841,18,0x100bfe80400384,27,0x220c6110587842 => 0x2044b1023c3821,14,0x100bfe80400384
0x840840200C23,290,398,48,0x23100840002184 => 0x808e40041022,24,0x30800c4000021c,27,0x848840240023 => 0x23100840002184,14,0x30800c40000384
0x39E00100411,290,388,32,0x10461080103090 => 0x811880020c601,16,0x22180110401882,27,0x138800208611 => 0x18441080107080,14,0x20188100449802
0x18C1C7C60,289,539,14,0x3003898c200118 => 0x3013818c200460,9,0x2008018c3c0c60,12,0x2043010c1c2860 => 0x10018a8c0c2460,7,0xa00058c1c0c60
0xC61,288,704,11,0x8400200000060 => 0x8400000040060,8,0x31c,9,0x30400000000108 => 0x30100000000108,6,0x8000000063
0x802C0461,288,622,14,0x20130100200108 => 0x10418080400108,9,0x10018480000308,12,0x10418080400108 => 0x10118080200108,8,0x10418480000108
0x4010800C23,288,620,22,0xc1040008043 => 0x30001002008c40,11,0xa500012800100,13,0x300c0010820100 => 0x30001002008c40,7,0xa500050800040
0x100580800C0403,288,528,29,0x9801c0c03 => 0x100982800c1400,15,0x30438180000c00,17,0x20030900184801 => 0x200f0100181800,9,0x30038180000c04
0x800184638C21,288,528,16,0x11300047b8020 => 0x814004698223,11,0x80078403b820,12,0xc0078403b020 => 0x11300047b8020,7,0x8180046f8021
0x108580846F8421,288,500,26,0x30338184638420 => 0x2083870619a820,16,0x108580846f8421,16,0x20c305041bb820 => 0x30238184638421,9,0x108580846f8421
0x10840184638421,288,480,28,0x88106061da020 => 0x4440184638821,14,0x1080058403f420,20,0x22200184638821 => 0x88106061da020,10,0x1080058403f420
0x10081180600421,288,464,32,0x200078000e840 => 0x10001780002830,16,0xb9000680041,24,0x4300006c8041 => 0x80910006c0021,12,0x710006c0041
0x200893000008C6,288,396,24,0x304400101840c1 => 0xa440110005888,15,0x20188100840846,22,0x180c0080904444 => 0x3018008000d608,14,0x220803100018c2
0x108580843E7421,287,480,26,0x308787862008c1 => 0x20884f845c0c30,13,0x26001843e7c21,20,0x30878786200191 => 0x208707063c0846,11,0x208401843e7c21
0x10700087B0043D,287,404,23,0x18880107a4085e => 0x20708107a007a2,12,0x738007a0043d,18,0x20708107a00b46 => 0x18300107a4085e,9,0x10c40007bc003d
0x108E0082000C00,287,396,51,0x838202041800 => 0x18c00102040210,26,0x8c0102040803,29,0x10620002180084 => 0x18c00102040210,15,0x8c0102040803
0x80200C63,286,606,26,0x8700041108 => 0x18200441108,13,0x210008040018c,16,0x18200441108 => 0x8700041108,8,0xc0100200c60
0x10840180600C03,286,604,18,0x31100580002c04 => 0x30c00580002c10,10,0x308c0180600802,13,0x30c00580002c10 => 0x30d0000680083,7,0x10840180600c03
0x80800C63,286,556,31,0x21880104108 => 0x10a10005060,20,0xd1000000318,19,0x20880904108 => 0x21880104108,13,0x8410010000318
0x100400F4200C63,286,552,24,0xe40b4401c60 => 0x84006b610018c,12,0x100c00f4400463,15,0x8000eb402418c => 0x246b4001c62,8,0x100400f420039c
0x8000842D8423,286,546,19,0x4000d0419c820 => 0x10218084418c20,10,0x8000840da630,12,0x4000504198823 => 0x10218084418c20,7,0x8200845d8420
0x1080008C6F8463,286,520,24,0x1089808c638c60 => 0x1111808c638c60,12,0x80010c7f8863,15,0x1021808c638c61 => 0x82068c1fa460,8,0x20010c7f8863
0x100400B46D85A1,286,432,27,0x4204b40de5a0 => 0x204400b46d85a0,14,0x80800b46d85a2,23,0x224000b46d85a0 => 0x4204b40de5a0,12,0x180004b41da5a0
0x201B930080005E,285,396,15,0x244010098985e => 0x2203991000045e,11,0x2018130098085e,13,0x244010098985e => 0x2203991000045e,10,0x2053930080085a
0x10000180600821,284,560,27,0x20104000c2044 => 0x10000780006100,15,0x18000180600110,20,0x2010600082044 => 0x8100180600808,11,0x8080180600820
0x21088000000C43,284,528,20,0x8c48000004184 => 0x848800045808,12,0x21088000000c23,12,0xc6800010008c => 0x860800005c08,7,0x21088000000c23
0x108C00800C0423,284,528,20,0x21038900044101 => 0xc4003001808c4,12,0x11038280105020,12,0x31080300181808 => 0x23130100000c18,7,0x210b0100000c23
0x10800184618421,284,500,18,0x2300046d8022 => 0x838004698220,11,0x8500046d8021,14,0x2300046d8022 => 0x838004698220,8,0x10100047d8021
0x108430843FF421,284,456,26,0x20c4b706398821 => 0x2087310625b831,13,0x108430843ff421,21,0x10843ec42d8431 => 0x10c5b0c421f421,11,0x1085b68433c421
0x100401807C0C01,284,432,30,0x30138180600201 => 0x180184800c6404,16,0x20030f001c2800,22,0x20138100780810 => 0x30438580002404,11,0x100005801c7c00
0xA0000F5B20281,284,408,24,0x100800b7b24410 => 0x80648f5a00801,13,0x180000b7a24411,17,0x80648f5a00801 => 0x100800b7b24410,10,0x104448b7b00001
0x472920280003D,284,396,34,0x47092408045a1 => 0xe20921210042d,17,0x622d810000bc2,25,0x620d21010043d => 0x47292008205a1,13,0x4325a0080085e
0x12C800800C14,284,384,26,0x8108800860806 => 0x22084210101090,17,0x12c800800283,21,0x10065800001290 => 0xa100800069802,14,0x10520002109410
0x1084018FFC0C21,284,384,54,0x888018ffc0c44 => 0x30c3818fe000c1,27,0x210b810ff80821,35,0x418018ffc0c44 => 0x30c3818fe00888,18,0x210b010ffc0842
0x21088000000C03,282,488,44,0xc400200100086 => 0x40e0000001c02,22,0x8708000040006,27,0x23100800000211 => 0x40e0000001c02,14,0xe500000041002
0x10858080000C03,282,488,44,0x8c40100180884 => 0x302008800c0403,22,0x61200801c1400,27,0x23130100001210 => 0x10238880100003,14,0x310c00800c1400
0x100000C7AC0401,282,424,33,0xc905ba0800 => 0x200400c7ac0400,17,0x10104085ae0400,29,0x100180c7a00801 => 0x20034105a64000,15,0x104085ae0404
0x100400B46D87A1,282,404,39,0x204400b46d85a1 => 0x4204b40df5a0,20,0x20400b46d87a1,31,0x204400b46d85a1 => 0x4204b40db7a0,16,0x2000eb40da7a0
0x100C00B46D85A1,282,392,27,0x100a00b47d85a0 => 0x30000cb41da5a0,14,0x100000b47d85a3,21,0x30000cb41da5a0 => 0x100a00b47d85a0,11,0x100006b41db5a0
0x8000B7A0042D,280,544,15,0x2000b7a00b44 => 0x40240b5a00b40,10,0x8000f5a0402d,9,0x210000b7a00b40 => 0x208000f5a00b40,7,0x2000b7a0042d
0x174000005A0,280,532,14,0x611020002d => 0x12040c0002d,8,0x17400000b40,10,0x24c080005a => 0x3102200b40,6,0x1740000005a
0x100401FC203401,280,432,16,0x8080dfc400404 => 0x24001fc406802,10,0x2080ffc400200,12,0x200003fc406202 => 0x80407fc200204,8,0x401fc207401
0x3F00034002D,280,384,45,0x30003100220c2d => 0x30006080408c5a,28,0x300c710040002d,25,0xc6100208b43 => 0xc30802205a3,16,0x300c708040002d
0x108400B46D85A3,279,380,36,0x22000b47d85a3 => 0x44204b41de5a0,18,0x188006b40db5a0,25,0xc4004b40de7a0 => 0x44000b47d85a3,13,0x108006b41db5a0
0x101000B5A00C01,278,488,30,0x8b5a00894 => 0xa1800b5b00000,19,0xa1000b5b00080,19,0x1008b5a00c10 => 0x21800b5a00801,12,0x184000b5a00011
0x73920380043D,277,384,24,0x18300103849b46 => 0xa2192131005b1,12,0x73920380043d,19,0x1118130384085e => 0xa219a111205a1,10,0x207093038005b1
0x211B9308C0005E,277,380,20,0x23039d180010da => 0x22630108c4905e,10,0x211b9308c0005e,18,0x21139f08800b41 => 0x10701308d8085e,9,0x211b9308c0005e
0x108400C7AC043D,276,378,43,0x4124085ae442d => 0x107180c7a000da,22,0x10844085be042d,31,0x4124085ae442d => 0x4104885be042d,16,0x7000c7ac043d
0x10858087AC043D,276,368,51,0x31078187a00b41 => 0x308b8187a005a2,28,0x20338107b8082d,33,0x308b8187a005a2 => 0x31078187a000da,17,0x30738187a005a0
0x38E0C080063,274,544,16,0x3018018c20030c => 0x9020c5c1062,9,0xa000f8c000c60,11,0x47000c4c0063 => 0xd800c384061,6,0xa000f8c000c60
0x100580843FF421,274,414,37,0x204787043b8821 => 0x1011c0842df621,19,0x180586843f8421,31,0x30478784238421 => 0x105180c42df421,16,0x180180843ff421
0xA92000008C6,273,368,34,0x10120800840314 => 0x22180000804381,17,0xa92000008c6,28,0x30500000804381 => 0x10520010000383,14,0xa92000008c6
0x802C0401,272,784,10,0x802c0404 => 0x10018080002004,7,0x10018080002400,7,0x100380880 => 0x400500180800,5,0x10018080200200
