signature (qtm),vertices,edges (qtm),diameter (qtm),example antipodes (qtm),radius (qtm),example center (qtm),diameter (htm),example antipodes (htm),radius (htm),example center (htm)
0x10000080200C63,808,1680,50,0x70800304108 => 0x20008700041108,25,0x280001c6060,32,0x20008700041108 => 0x70800304108,16,0x100c0080400063
0x183FE0C080008,808,1398,28,0x189f00c384040 => 0x187700c4c1020,18,0x21807f8c000030,19,0x189f20c182040 => 0x187700c4c1020,13,0x1184798c200041
0x168400B4000463,808,1324,31,0x30b400b4004061 => 0x2f1000b4004308,16,0x168408b400018c,24,0x30b400b4004061 => 0x316800b400410c,12,0x1e8008b4000c60
0x18C007C60,807,1671,17,0x1020c5c1060 => 0xd000c087060,10,0xa00018c400c60,13,0x1080c3c4060 => 0x5080c284061,8,0xa00018c002c60
0x80400B40D87A1,807,1308,15,0x80800b40d95b0 => 0x20a00b40dc5a0,10,0x100400b40dc5a1,13,0x200008b40d87a2 => 0x1008b40d85b1,8,0x180400b40d87a0
0x108400B43FF5A1,805,1112,32,0xe0800b63db5a1 => 0x182008f42db7a1,16,0x6080ef44d87a2,29,0x188400b63db5a1 => 0x41800b43ff5a1,15,0x6080ef44d87a2
0x300000F4200C21,803,1458,55,0x84002f4002310 => 0x30000cf4000c08,28,0x21000b6200390,33,0x30000cf4000c08 => 0x84002f4002310,17,0x100c00f4200310
0x1085B084000463,801,1492,30,0x8c3104184861 => 0x208c30840c4460,16,0x1885b08400018c,23,0x88b304181860 => 0x80b3041c4860,12,0x1885b08400018c
0x421,800,2792,9,0x8000000100040 => 0x40220,6,0x8040000000040,7,0x2040000000020 => 0x10000000000088,5,0x2080000000040
0x101000B5A00421,800,1450,21,0x200b5a00898 => 0x20008b5a00888,13,0x180008b5a0000c,16,0x408b5a00821 => 0x100800b5a000c2,10,0x181000b5a00300
0x100000B4000461,798,1560,23,0x200008b4001060 => 0x100002b4004060,12,0x100008b400010c,21,0x200b4004308 => 0x2b4004061,11,0x100008b4000460
0x108400F62D85A1,798,1132,49,0x40842b40fe5a0 => 0xc1800f60da5a0,25,0x60040b41fe5a0,33,0x188800f60da5a0 => 0x40840b42fc5a1,18,0xe0000f60da7a0
0x1007AE8020042D,796,1136,25,0x200bad004010da => 0x220b2f0040045a,15,0x1007ae8020045a,22,0x182c805c145a => 0x22072700240b41,14,0x100bae8040042d
0x1080008C2F8463,792,1480,48,0x1081848c038863 => 0x1101848c038863,24,0x400010c5f8863,29,0x1081848c038863 => 0x2103050c078063,15,0x400010c5f8863
0x21000B5A20401,792,1430,27,0x221000b7b00000 => 0x8f5a00086,17,0x80000f5a00214,16,0x80c00f5a04000 => 0x240b5a00083,11,0x4000b7b00084
0x10040180600421,790,1540,28,0x8098000680021 => 0x18000180600608,15,0x10040180600842,21,0x20000580006444 => 0x500006c0222,11,0x1004018060001c
0x1084018C238C61,790,1404,31,0xc00038c438463 => 0x880098c238863,16,0xe00018c238c61,23,0x880098c238863 => 0xc08038c03b460,12,0xc10018c438c62
0x1188008C600421,788,1520,26,0xc30008c600822 => 0x189000c640822,17,0x183040c0038c0,20,0x1182040c087020 => 0x180870c0060c0,12,0x187000c600181
0x100400B46005A1,788,1480,27,0x204000b460045a => 0x600b460082d,14,0x80400b46005a1,22,0x600b460082d => 0x80004b40035b0,12,0x105000b4600b40
0x10800087AC042D,788,1220,26,0x11018087a00b41 => 0x20830107a005a2,13,0x1081c085a0042d,18,0x20830107a00b44 => 0x102180c5a00b41,10,0x804085bc042d
0x100000B7A00411,784,1420,22,0x100800b7b00400 => 0x408f5a00801,13,0x101240b5a00001,17,0x100800b7b00400 => 0x408f5a00801,10,0x100400f5a00011
0x100400F62007A1,782,1378,43,0xa0006f6000b44 => 0xa0004f60015b0,22,0x20400f62005b1,33,0xa0006f6000b44 => 0xa0004f60015b0,17,0x20448b42205a1
0x108000B42D85A3,782,1144,25,0x10c00b42d85a2 => 0x208c00b44d85a0,16,0x308400b42d85a0,17,0x223000b44d85a0 => 0x30002b44d95a0,11,0xe4000b42d85a0
0x802C0421,780,1894,13,0x400500180840 => 0x10418080400008,9,0x10038480000100,10,0x20030100200208 => 0x10018080400088,7,0x10018080200440
0x10858085A00C2D,778,1060,39,0x60c0105b8085a => 0x20230905a00b43,21,0xc400085ac043d,28,0x8c40105b8085a => 0x20230905a00b43,14,0xc500085ac042d
0x180408042,776,1616,23,0x400580008040 => 0x411000480020,13,0x11400080030,20,0x411000480020 => 0x400580008040,11,0x1d80000020
0x52920080043D,776,1104,23,0x105212008008da => 0xa049810000b46,16,0x2029a100008da,21,0xa080210048bc1 => 0x2050800080945e,14,0x1a920080062d
0x1684008C338461,776,1084,50,0x2f00088c238862 => 0xf4810c438461,25,0xf4008c03f460,35,0x2f04088c03a860 => 0x20f4800c4b8061,18,0x1684000c1fb060
0x108001FC600C21,774,1548,60,0x82001fc600c30 => 0x311001fc600110,30,0xc000dfc006180,37,0x82001fc600311 => 0x61801fc600110,19,0xc000dfc006180
0x100000B4600401,774,1500,25,0x200b4600090 => 0x24000b4700000,13,0x80800b4600200,21,0x80004b4003010 => 0x200b4600090,11,0x4000b4600280
0x100000B4200C03,774,1344,74,0x300004b4000c04 => 0x301000b4002c00,37,0x20eb4101000,44,0x300004b4000c04 => 0x300004b4000211,22,0x202b4107000
0x108400F43237A1,774,1080,29,0x82248f42035b1 => 0x1040ef43207a2,15,0x108400f45267a2,23,0x1080cf45217a2 => 0x82008f43237a1,12,0xe0000f43237a1
0x33B601800C1C,773,1176,70,0x2260271104d088 => 0xa312c110490c2,35,0x33b601800c1c,54,0x831ac01849046 => 0x2260271104d088,27,0x33b601800c1c
0x84018C200860,772,1632,15,0x308018c200108 => 0x81060c080062,11,0x108018c400460,11,0x31000c083060 => 0x111000c481060,8,0x1080018c002460
0x108400802007BD,772,1432,28,0x40e0080401fe0 => 0x3020028050007f,17,0x11040100400bde,18,0x4020680001fe2 => 0x3020028050007f,11,0x20880080400c7f
0x230008080002D,772,1396,19,0x1001280001b40 => 0x23001010002d,12,0x10000100800de,16,0x21081000402d => 0x1001280001b40,9,0x21800084005a
0x100580842D8421,772,1394,26,0x81001843d8c20 => 0x24001845d8c20,14,0x20001841dec20,20,0x180180840da430 => 0x81001843d8c20,11,0x20001841dec20
0x1080188C09C46,772,1060,39,0x11316089c0022 => 0x8980089cb044,20,0x30b9018580042,27,0x8b800898b044 => 0x11316089c0022,14,0x11b1208d80042
0x1084318620043D,770,1082,51,0x89f00438005e => 0x10803f8402082d,26,0x10807f8400005e,37,0x89f00438005e => 0x10803f8402082d,20,0x10847184200bc1
0x21139308C0085E,770,1060,36,0x230b911820045e => 0x1101f089c083d,25,0x211b1308c00bc2,32,0x211305180498da => 0x22230108c4985e,22,0x211b1308c00bc2
0x100400B46007A1,768,1408,35,0x204400b460005e => 0x100600b460082d,19,0x80400b46007a2,26,0x100600b46000da => 0x180004b40035b0,14,0x20004b40077a0
0x1184008C038463,764,1528,63,0x180830c038463 => 0x183080c039c60,32,0x630008c13c460,41,0x189020c139460 => 0x1182088c139060,21,0x3180008c13c460
0x180008020042D,760,1480,20,0x420010020022d => 0x42000804000da,13,0x4200100002bc0,17,0x181040000022d => 0x18104000000da,11,0x420000028003d
0x18280000C,756,1538,21,0x1182001040 => 0x41180020008,12,0x34000880008,17,0x1182001040 => 0x94000880020,10,0x34000880008
